Mtech_Project,Server,Date,Utilization,Parameter,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-02T22:30:00,0.073611667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-02T16:30:00,75.38638878,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-03T03:30:00,0.255000836,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-03T00:30:00,0.228334169,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-01T12:30:00,0.237169167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T02:30:00,0.091419166,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-03T14:30:00,0.073881668,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T12:30:00,0.078333334,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T10:30:00,0.082666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T22:30:00,0.236111669,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T05:30:00,1.171389969,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T19:30:00,0.438888347,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-04T18:30:00,0.240833338,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T12:30:00,0.084445833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T22:30:00,0.103610834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T21:30:00,0.264721659,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T19:30:00,0.942222474,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T18:30:00,0.12639,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T16:30:00,0.101944169,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T14:30:00,0.0958325,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-07T01:30:00,0.270555827,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T03:30:00,0.274167491,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-06T02:30:00,0.101110834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-05T13:30:00,0.326130833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-05T10:30:00,0.079408,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-05T19:30:00,0.247227502,CPU,,,,,
